valor,hora,dispositivo_novo,tentativas_24h,distancia_km,fraude
3660.08,7,False,1,189.88,0
1752.02,4,False,5,1361.0,1
4758.69,16,False,4,35.34,0
412.78,3,False,1,494.67,0
333.82,1,True,2,1879.14,0
1941.39,20,True,3,401.35,0
4668.87,18,False,0,302.71,0
3025.32,14,True,4,1409.16,1
1590.51,3,False,4,1836.31,1
926.11,2,True,2,1189.43,0
153.22,4,False,2,176.14,0
3128.65,6,False,0,1225.8,0
4146.14,19,True,1,1213.83,0
4881.62,4,True,3,70.23,1
2335.92,9,False,1,142.85,0
672.44,7,True,5,1009.12,0
4578.48,8,False,3,1346.15,0
249.58,8,True,0,1767.83,0
2929.37,3,False,0,1109.41,0
2354.08,20,True,3,843.19,0
2572.47,14,True,4,1904.43,1
4337.03,18,True,1,260.77,0
1325.67,20,False,5,411.42,0
2276.31,18,False,4,522.75,0
1391.26,19,True,3,1294.26,0
2253.71,5,False,5,992.24,0
1188.94,6,False,1,1767.14,0
1311.13,9,False,5,1384.75,0
4562.44,22,False,1,1498.38,0
4912.67,9,False,0,733.27,0
1568.06,5,False,2,1535.95,0
1337.49,23,True,0,639.11,1
3632.2,21,True,2,1027.38,0
1392.96,1,True,1,502.97,1
212.74,9,True,2,1914.83,0
2361.6,9,True,3,1149.7,0
3649.78,9,True,5,969.04,0
744.8,17,False,2,450.06,0
3307.43,9,True,4,1405.36,1
534.86,15,True,4,1040.78,0
4698.57,18,False,0,77.31,0
1501.06,12,True,2,939.1,0
3981.9,20,False,2,179.14,0
1004.01,5,True,0,27.26,1
2047.39,23,False,3,1968.37,0
2772.52,23,True,0,1548.2,1
2002.21,20,True,4,582.95,0
575.83,18,True,1,534.73,0
2848.93,5,True,4,406.24,1
1536.42,23,False,1,1502.91,0
730.4,10,False,3,760.08,0
2898.26,8,True,2,1130.18,0
734.54,20,False,0,1687.9,0
696.42,13,True,5,232.19,0
3636.98,1,True,5,1449.02,1
4592.24,23,False,2,1814.91,0
180.19,22,False,3,468.61,0
3493.96,9,False,0,1450.05,0
4134.73,21,False,2,781.04,0
564.39,12,True,4,1604.41,0
1255.94,10,True,3,1552.56,0
1320.22,15,False,4,1849.62,0
4687.43,14,True,1,1482.55,0
3627.75,22,False,2,999.11,0
486.12,16,False,5,1518.2,0
3044.6,20,True,5,1145.1,1
1980.59,9,True,4,627.12,0
2994.45,4,False,5,1119.8,1
4064.38,22,True,1,1576.47,1
4629.35,20,False,4,430.53,0
3455.4,6,True,0,54.17,0
546.94,15,False,3,65.42,0
636.17,22,True,3,736.37,0
3890.57,17,True,5,1616.71,1
536.85,21,True,4,1998.0,0
3114.21,20,True,1,1862.56,0
928.29,4,True,3,1753.27,0
945.54,1,False,2,1109.4,0
1664.63,5,True,5,461.6,1
4475.27,17,False,0,1778.58,0
4874.07,22,False,0,321.74,0
714.81,8,True,3,403.87,0
3840.5,20,False,4,25.74,0
4750.77,18,False,2,51.54,0
1854.65,12,False,1,1264.28,0
1091.06,2,False,2,809.64,0
4189.15,9,True,5,37.79,0
446.59,23,True,2,1756.15,0
3913.5,11,True,0,238.61,0
523.29,9,False,2,598.17,0
84.6,14,False,5,1061.99,0
4021.96,0,False,4,1661.51,1
4430.79,9,False,1,4.71,0
2258.64,12,False,5,667.61,0
2247.7,8,True,5,763.26,0
4570.65,9,True,5,539.6,0
251.18,11,True,4,666.86,0
1410.01,19,True,1,69.48,0
4126.36,19,False,2,1880.47,0
4033.58,9,False,4,652.44,0
100.37,0,False,3,1600.84,0
1864.71,3,False,5,114.04,0
4094.24,8,True,1,245.75,0
4784.04,20,True,5,559.33,0
1492.44,7,False,4,719.68,0
4258.67,14,True,2,1282.67,0
850.68,19,True,3,921.29,0
442.15,6,False,2,435.89,0
799.06,21,False,2,1152.82,0
2980.42,9,True,3,1622.11,0
4685.71,11,True,5,1833.44,1
19.92,3,True,4,1711.28,1
48.01,17,True,4,1911.05,0
1992.38,10,True,0,1564.31,0
3515.21,21,False,5,265.73,0
4428.01,6,True,5,1778.9,1
251.9,8,True,0,539.74,0
1713.41,12,False,5,802.72,0
1353.82,10,False,1,550.08,0
3927.12,11,False,0,652.32,0
1503.53,16,False,1,375.73,0
542.58,17,True,4,777.25,0
1846.5,5,True,3,335.14,1
4338.9,19,False,3,1537.96,0
1686.22,21,True,1,460.4,0
1527.86,15,False,4,804.96,0
3879.76,7,False,5,1924.78,0
2693.34,11,False,5,1736.51,0
4511.88,2,True,2,453.58,1
1221.45,1,True,3,1627.09,1
61.57,6,True,5,1469.53,0
2223.7,15,False,4,1012.2,0
3224.94,3,False,0,1895.95,0
1522.8,22,False,0,1845.76,0
697.12,18,True,1,556.7,0
2205.92,17,False,5,1752.12,0
4297.05,20,True,4,641.82,0
3450.02,2,True,0,1258.01,1
487.6,21,True,4,655.17,0
2058.77,13,True,5,1402.59,1
230.15,0,True,0,683.23,0
2206.89,3,True,3,815.46,1
4094.83,3,False,1,1576.0,0
665.75,18,True,3,514.14,0
2771.51,15,False,5,1873.6,0
4131.7,12,False,2,1564.65,0
4869.56,17,True,1,1839.23,0
2710.72,15,False,2,1570.04,0
4147.53,5,False,4,1049.07,1
4397.21,3,True,4,100.03,1
55.64,17,True,5,1578.86,0
126.95,23,False,3,250.36,0
1536.32,18,False,5,263.36,0
2840.84,14,False,2,1335.92,0
3990.49,15,False,3,444.83,0
83.62,23,False,1,386.42,0
2793.66,7,True,2,465.55,0
2780.13,0,False,3,260.68,0
11.31,11,False,1,1500.02,0
1495.81,11,True,0,1454.28,0
3284.33,5,True,0,474.18,1
3405.1,2,False,1,1911.4,0
1092.12,20,False,1,334.98,0
534.69,10,True,1,772.26,0
3568.52,0,True,2,1040.76,1
2104.61,16,True,5,1213.62,1
3348.33,6,True,4,1267.24,1
3766.21,14,True,1,1147.65,0
870.33,4,True,3,798.5,0
3327.24,4,True,5,1468.33,1
863.41,1,False,5,1540.37,0
3234.89,18,True,2,566.1,0
2448.45,8,True,3,1113.4,0
2997.68,16,False,4,1663.77,0
3059.18,12,True,0,1364.45,0
2121.99,4,True,4,226.6,1
3598.2,17,False,2,523.98,0
40.94,23,False,5,1522.45,0
1870.76,16,True,0,1837.4,0
3972.13,6,True,3,263.12,0
3973.83,18,False,1,1936.86,0
4206.69,1,True,2,1431.14,1
116.1,6,True,4,1750.69,0
2118.66,9,True,5,568.87,0
2014.53,6,False,2,1178.73,0
3656.43,14,True,2,396.07,0
1898.17,7,False,1,1957.63,0
4117.06,23,True,5,667.88,1
145.35,9,True,2,436.68,0
2408.81,0,False,1,1875.62,0
1417.02,8,True,2,1000.89,0
4173.44,23,False,4,326.83,0
1441.52,23,True,2,273.03,1
2211.71,12,False,0,29.91,0
4902.52,5,False,3,479.44,0
4112.4,18,True,5,358.26,0
1244.82,3,False,2,684.17,0
3600.24,14,False,5,1961.46,0
2513.82,2,False,2,1270.0,0
967.5,13,True,0,1481.01,0
2816.2,19,True,5,222.09,0
916.87,16,False,4,1506.89,0
3668.25,8,True,5,1607.18,1
3480.98,17,True,4,376.84,0
1653.97,13,False,4,1192.56,0
1631.84,16,True,0,1506.18,0
46.68,8,False,5,1266.17,0
4891.1,17,True,1,862.25,0
2736.13,21,False,3,1195.82,0
781.56,15,False,1,1881.3,0
3913.29,14,False,1,151.55,0
568.59,13,False,4,57.5,0
4116.62,2,True,4,1040.65,1
598.49,0,False,4,1016.32,0
3293.9,2,False,5,934.7,0
1879.09,19,True,0,1613.19,0
2445.5,13,True,2,1607.93,0
3626.26,9,True,1,1468.84,0
3293.34,14,False,3,782.04,0
3226.13,8,False,2,1573.53,0
132.74,21,True,4,1898.15,0
653.16,8,True,2,1351.29,0
1623.88,18,False,5,1299.66,0
2078.69,10,True,3,867.72,0
1718.5,13,True,1,1248.02,0
3641.29,17,True,2,1178.36,0
1235.59,4,False,0,1774.9,0
4874.73,18,True,4,78.81,0
2497.83,14,False,4,19.93,0
3994.13,14,False,5,932.69,0
487.13,18,False,1,1000.29,0
4693.42,22,False,2,1755.12,0
2148.92,13,True,2,1091.28,0
3947.16,15,False,4,1202.33,0
2884.9,18,True,5,842.43,0
1733.84,16,True,5,743.51,0
3157.45,1,False,5,1763.77,1
1365.67,16,True,5,30.81,0
4638.16,17,True,2,1348.32,0
2045.43,23,False,2,5.51,0
1654.17,8,False,3,338.28,0
3712.28,0,True,2,1758.74,1
4291.26,18,False,3,1591.82,0
1650.76,22,False,0,100.59,0
467.05,18,False,1,1967.87,0
4518.67,19,True,3,267.05,0
4531.15,4,True,4,39.96,1
171.07,7,True,5,1564.63,0
3822.89,0,True,2,1685.96,1
1954.88,9,True,3,1115.04,0
3888.1,1,False,4,1919.62,1
749.5,13,True,3,1020.46,0
2620.05,21,True,1,689.47,0
4562.8,20,True,4,1146.11,1
3666.35,2,True,4,1040.21,1
4522.26,14,False,3,622.15,0
4126.46,2,False,0,1162.37,0
1757.01,16,False,4,1834.27,0
649.69,20,True,3,569.84,0
2796.91,1,True,0,503.55,1
1788.77,15,True,0,1813.37,0
431.6,18,True,0,1247.5,0
4828.27,14,True,3,243.32,0
2679.66,17,True,2,128.27,0
4158.71,18,True,4,860.53,0
1587.99,22,True,5,54.21,1
4831.08,8,False,2,110.88,0
3641.47,11,False,1,810.01,0
1294.54,2,True,3,1351.28,1
3141.89,23,False,5,1895.91,1
4898.49,22,True,1,433.89,1
314.62,18,False,3,1066.88,0
1815.3,0,False,1,1395.19,0
4579.03,12,False,3,118.71,0
2482.84,19,True,0,1856.23,0
152.15,4,False,0,1535.87,0
335.59,12,False,4,1893.02,0
2517.18,11,True,3,931.72,0
3957.7,19,False,2,773.8,0
1886.98,1,True,4,1670.74,1
10.3,7,True,4,870.75,0
3634.94,11,False,3,1448.85,0
4066.73,11,True,0,1303.58,0
1656.89,10,False,4,115.66,0
3587.64,11,True,3,1996.39,0
4402.45,8,False,3,1193.74,0
4597.21,20,True,2,1522.16,0
1791.4,21,True,5,876.35,0
1013.98,5,False,3,739.51,0
2703.17,7,True,3,559.33,0
2803.16,16,False,3,1985.54,0
4037.53,0,True,0,1815.13,1
4941.48,18,True,4,1857.99,1
4424.45,21,True,1,518.49,0
2921.42,1,False,5,1866.07,1
4937.65,19,True,4,343.04,0
718.98,17,True,3,690.86,0
4224.61,12,True,0,883.35,0
4538.05,16,False,0,1710.95,0
4800.2,12,False,1,706.74,0
797.97,20,False,3,890.62,0
2332.51,21,False,5,267.56,0
2428.37,22,True,4,1579.1,1
3522.28,19,False,5,1493.44,0
3918.82,3,True,2,496.26,1
1123.37,22,True,4,1191.39,1
995.3,6,False,3,1580.93,0
3343.01,6,False,1,1412.23,0
2464.08,22,True,0,991.87,1
2114.18,21,False,0,1684.32,0
724.89,5,False,3,244.68,0
1774.41,1,False,1,1948.4,0
4921.77,22,False,1,344.24,0
3600.71,22,False,2,1403.3,0
102.49,2,True,4,1067.57,1
2148.77,6,False,0,442.61,0
1127.89,10,False,4,1876.4,0
749.06,7,True,2,1262.37,0
417.56,6,True,2,480.87,0
4912.15,21,False,4,1306.58,0
1219.69,14,True,5,1544.85,1
1998.15,8,True,2,472.86,0
872.75,8,False,1,132.61,0
3634.11,23,True,5,764.75,1
3558.31,14,True,5,41.03,0
4507.96,16,False,4,36.1,0
1515.08,22,True,4,1801.85,1
3394.94,2,True,2,1276.87,1
162.17,23,True,0,1819.13,0
3632.89,18,False,5,732.21,0
4813.35,20,True,2,346.64,0
4367.58,2,False,1,1188.82,0
4153.79,1,False,0,1030.23,0
2835.02,8,True,0,1613.25,0
176.84,1,False,5,273.38,0
1777.48,22,True,0,1337.31,1
3045.35,4,False,2,1232.1,0
4720.44,7,False,2,418.77,0
1218.31,5,False,3,317.95,0
3406.29,22,False,4,77.12,0
668.18,5,True,4,608.42,0
955.69,12,False,4,1769.86,0
1236.56,11,False,0,499.48,0
4316.6,19,False,5,1712.97,0
3502.43,18,False,4,1785.17,0
601.55,5,True,4,1397.04,1
1637.43,17,True,2,1014.42,0
484.36,6,False,4,1131.02,0
1704.03,10,True,3,1094.35,0
1701.32,4,True,3,285.55,1
3430.47,16,False,1,1260.57,0
2100.29,5,True,2,1809.88,1
4237.73,8,True,1,1497.51,0
1484.06,21,True,5,1315.43,1
2520.52,21,True,3,1844.69,0
3103.67,10,True,3,1037.12,0
313.77,5,True,4,1971.27,1
237.06,23,False,1,213.15,0
2328.81,10,True,1,1084.83,0
4838.63,1,True,3,1736.29,1
3723.9,17,True,3,528.07,0
4310.11,5,False,0,60.32,0
2007.42,6,True,3,1025.18,0
2113.56,2,False,1,1416.75,0
4953.75,7,False,0,202.14,0
1384.59,14,True,5,1694.93,1
4243.67,18,False,1,104.79,0
1697.57,12,False,0,1431.45,0
3131.68,9,True,5,515.13,0
3357.58,8,False,5,1629.01,0
3518.21,10,False,2,1346.27,0
2512.66,2,False,4,1217.68,1
1785.92,18,True,3,461.84,0
2083.28,7,True,5,308.23,0
4553.19,22,True,2,819.99,1
213.83,3,False,1,768.4,0
4886.32,19,False,2,761.24,0
1645.99,13,False,4,200.48,0
830.38,14,True,4,1662.21,0
149.94,18,True,0,1157.34,0
4670.59,23,True,4,1400.45,1
1232.97,16,True,3,1413.78,0
972.31,8,False,3,1150.68,0
4890.38,20,False,0,1008.8,0
4324.63,7,True,5,1261.05,1
471.15,4,True,2,833.64,0
1306.46,12,False,0,1943.44,0
2247.09,14,False,0,974.01,0
1535.82,1,False,0,1910.72,0
926.35,2,False,0,895.81,0
4000.13,13,True,2,1238.38,0
3748.23,22,True,0,1965.3,1
4079.32,0,False,3,1113.59,0
2902.3,16,False,2,1967.51,0
4385.98,18,False,3,1479.68,0
2701.47,6,True,5,211.97,0
765.97,3,False,3,939.16,0
56.4,1,False,4,787.27,0
215.09,23,False,3,753.82,0
1993.69,15,False,1,693.92,0
950.72,4,True,2,1241.05,0
2806.9,3,False,5,1253.11,1
846.92,22,False,2,668.29,0
657.19,14,False,0,1303.82,0
2404.98,8,True,1,130.29,0
4514.75,20,False,5,946.28,0
4773.56,21,True,3,472.16,0
1811.83,11,True,3,1913.96,0
641.81,6,False,2,1045.88,0
3955.86,11,True,2,1309.42,0
4498.73,6,False,5,1033.66,0
573.89,6,False,3,1890.84,0
4526.94,18,False,3,1958.34,0
3698.11,10,False,0,1727.93,0
4700.35,22,True,0,1074.06,1
2760.77,10,True,0,1059.09,0
3116.23,12,False,1,1034.0,0
2672.6,6,True,3,1567.11,0
4299.73,0,True,3,1094.68,1
833.95,16,True,4,758.12,0
2897.39,13,False,4,1463.14,0
4207.41,17,True,3,1065.79,0
4977.81,23,True,4,1596.84,1
4711.65,3,True,4,631.31,1
4215.57,14,False,0,177.98,0
3167.16,6,False,4,70.04,0
395.46,13,True,1,1747.96,0
4734.41,0,False,5,1077.35,1
351.23,9,False,0,372.12,0
1750.52,6,True,5,56.56,0
435.68,10,True,4,1489.43,0
529.88,8,True,0,1915.88,0
2448.24,11,True,5,154.33,0
2228.1,1,False,1,928.64,0
1181.8,10,True,4,1870.07,1
865.9,17,True,1,1047.65,0
2014.13,22,False,5,1480.69,1
1903.36,20,False,2,1044.17,0
3232.75,5,False,2,775.13,0
1070.16,23,False,1,655.93,0
774.72,9,False,1,978.8,0
4022.54,16,False,2,30.0,0
1737.24,22,True,0,1334.07,1
2848.27,19,False,1,694.87,0
2519.15,16,False,5,1800.11,0
3619.12,12,True,0,156.54,0
4960.52,11,True,0,1063.1,0
3190.78,9,True,4,713.21,0
1236.22,18,True,4,120.94,0
776.23,20,False,2,460.25,0
4441.73,13,False,5,1100.83,0
1316.9,16,True,5,1902.63,1
2752.1,17,True,2,1969.94,0
3227.51,1,False,3,1180.1,0
4379.06,18,False,3,222.81,0
2765.55,19,False,0,1763.03,0
4547.05,13,False,4,1971.13,0
3209.14,22,False,4,1024.95,1
2074.86,23,True,5,1292.58,1
3645.0,15,False,0,979.08,0
1142.5,5,False,2,425.37,0
1999.38,13,True,3,816.1,0
2628.21,6,True,3,352.34,0
2156.12,5,False,0,1154.55,0
3694.94,9,True,2,183.67,0
689.09,21,False,1,1658.65,0
2757.79,2,False,1,1762.94,0
1298.96,9,True,1,1176.93,0
3618.51,17,False,4,1619.31,0
1486.85,11,True,5,1277.41,1
2227.58,1,True,1,915.45,1
4053.35,11,True,2,1085.22,0
1719.13,14,False,0,791.39,0
340.76,23,True,5,1621.79,1
4773.83,8,True,0,1478.46,0
957.44,20,False,0,1087.22,0
4917.38,4,False,4,160.18,0
1418.44,8,True,1,1099.47,0
3891.85,0,False,5,906.23,0
3275.39,0,False,5,1191.61,1
2503.49,5,True,2,19.05,1
1436.96,1,False,2,1488.6,0
4351.61,18,True,1,1552.76,0
1630.21,3,True,1,1094.39,1
884.29,5,False,4,1081.07,0
4171.81,8,True,0,564.72,0
4050.66,18,True,4,1590.33,1
1525.2,6,False,4,348.64,0
1932.38,22,True,3,864.46,1
4126.25,14,False,2,650.08,0
3722.54,10,False,2,606.13,0
2013.16,0,True,2,547.26,1
168.8,23,True,3,1553.63,0
2906.27,0,False,5,1160.32,1
1896.03,5,True,1,1586.76,1
914.04,0,False,3,224.81,0
2573.13,18,False,2,543.77,0
1776.79,4,False,2,558.77,0
4659.49,7,False,3,1924.14,0
4331.32,18,True,4,1457.43,1
1876.55,18,True,3,858.99,0
4250.24,6,False,2,1272.05,0
1932.51,4,False,0,1189.85,0
2726.45,13,False,1,1774.31,0
2792.5,3,True,4,367.53,1
3566.95,0,False,2,102.11,0
4134.21,1,True,1,1079.19,1
1165.57,1,False,5,981.47,0
568.46,22,False,1,963.01,0
4109.46,18,False,1,292.03,0
3662.84,6,True,3,147.13,0
920.28,5,True,1,1128.4,0
4489.08,16,False,1,1794.38,0
1967.46,3,False,2,1584.81,0
527.32,1,False,2,1256.11,0
621.41,16,True,5,419.16,0
4429.88,21,True,5,1522.41,1
4042.65,9,False,4,605.51,0
843.61,18,False,5,1088.99,0
4381.27,11,False,1,551.63,0
4210.85,14,True,3,1159.07,0
82.38,0,True,1,1872.97,0
1925.48,12,True,0,423.66,0
823.78,21,False,3,1062.82,0
1579.09,2,False,5,753.17,0
4304.23,10,True,3,571.79,0
4587.21,8,False,2,42.13,0
4472.84,17,False,4,1224.17,0
320.75,19,False,1,1838.13,0
2446.73,5,True,2,173.82,1
384.76,0,True,3,1846.56,0
4488.22,0,False,0,642.56,0
2255.77,0,True,1,1362.69,1
2960.47,19,False,4,1605.0,0
940.56,13,False,5,846.89,0
409.87,3,False,0,812.94,0
877.04,14,True,4,1076.3,0
451.51,2,False,5,1581.94,0
2483.09,7,True,5,609.42,0
1159.73,6,False,4,1693.45,0
4016.52,0,True,1,132.33,1
3844.59,22,True,2,1271.18,1
668.47,13,True,0,621.25,0
448.04,22,False,5,1396.63,0
4965.01,17,True,2,1128.41,0
274.58,4,False,0,1397.13,0
1112.79,14,True,3,905.66,0
4536.71,3,True,5,1505.12,1
4813.8,13,False,1,1710.11,0
2983.73,18,True,2,1260.16,0
2233.02,17,False,4,747.33,0
2200.91,0,True,5,638.11,1
3670.25,21,False,5,72.59,0
2515.44,23,True,1,959.25,1
4555.47,0,True,5,738.21,1
2721.61,18,False,0,387.38,0
1215.86,7,True,0,449.78,0
220.39,21,True,5,1925.67,0
294.37,8,False,1,254.51,0
236.86,21,True,0,137.76,0
4705.79,8,False,5,1728.1,0
1154.74,23,False,3,617.08,0
4549.62,7,False,4,601.22,0
1127.17,11,False,4,1043.02,0
4609.32,12,True,2,867.14,0
2930.05,4,False,1,242.13,0
224.47,9,False,4,747.31,0
3742.98,13,False,0,557.32,0
3971.96,18,False,4,53.35,0
3374.44,19,True,2,1684.18,0
3694.98,19,False,5,558.96,0
4653.34,8,False,1,1.0,0
2257.85,17,False,0,991.11,0
2811.4,21,False,3,601.66,0
3017.42,0,False,5,1455.62,1
1710.71,6,True,0,876.6,0
4427.07,3,False,0,854.01,0
1634.85,13,True,0,129.23,0
77.55,0,True,2,94.16,0
1509.63,8,True,0,579.66,0
634.69,21,True,2,142.95,0
4444.86,0,True,5,166.09,1
2303.71,14,False,5,1707.35,0
4881.05,18,True,3,83.93,0
976.57,10,True,3,610.32,0
2331.22,23,True,0,1803.95,1
2680.07,4,True,4,1066.44,1
2809.28,17,False,1,14.42,0
3847.76,14,False,1,1950.52,0
3666.18,2,False,4,624.01,0
4052.46,12,False,4,202.78,0
1394.15,9,False,1,1978.55,0
4452.68,8,True,2,203.06,0
127.69,16,False,0,1714.62,0
3199.78,5,False,1,1783.63,0
4010.44,12,True,0,1135.63,0
2773.03,4,True,0,535.68,1
3487.87,3,True,1,60.4,1
85.67,17,False,3,1755.18,0
248.12,8,False,5,1031.45,0
4114.71,3,False,1,201.67,0
2598.07,14,False,2,1685.57,0
3330.68,17,False,3,968.35,0
2448.02,23,False,3,983.32,0
4919.13,18,False,4,1486.53,0
266.3,14,True,3,993.05,0
3502.33,8,False,4,597.08,0
4437.22,8,True,2,1585.44,0
4656.19,11,False,3,942.56,0
4482.05,2,False,2,725.75,0
2508.76,21,False,2,563.33,0
1022.54,14,False,0,377.15,0
1273.45,15,False,4,1692.82,0
2657.15,20,True,3,807.88,0
3147.59,0,True,4,555.77,1
2515.33,18,True,1,1188.1,0
3393.17,16,False,1,79.56,0
379.37,0,True,3,320.59,0
2453.18,0,True,4,1275.49,1
4680.47,19,False,3,821.53,0
883.28,6,True,3,1476.51,0
3376.04,22,False,4,909.12,0
827.24,3,False,5,910.96,0
914.22,1,False,5,1575.02,0
2703.17,7,False,5,1871.61,0
85.58,14,True,4,850.1,0
614.54,21,True,1,82.04,0
1966.12,23,True,0,1492.06,1
4265.55,17,True,4,1552.59,1
1461.53,23,True,3,1836.44,1
684.1,4,True,4,1877.27,1
642.31,10,True,1,1565.51,0
4945.68,10,True,5,1302.18,1
1697.4,2,True,0,1678.8,1
1410.1,21,False,0,726.83,0
122.7,18,False,5,295.85,0
4679.91,20,False,5,952.62,0
2905.56,22,True,1,431.35,1
4211.62,16,False,5,1719.25,0
2448.01,15,False,5,1825.19,0
358.21,15,True,5,794.73,0
933.46,5,True,4,1427.64,1
4985.07,6,False,0,1929.18,0
3980.37,14,False,4,1140.91,0
3997.82,5,False,1,54.45,0
1950.75,19,True,2,38.63,0
2244.14,20,False,1,256.3,0
148.37,3,True,3,1525.89,0
4242.37,17,False,1,840.09,0
1597.17,8,False,1,1756.12,0
2443.62,17,False,1,621.9,0
2961.39,3,False,4,428.99,0
4820.23,11,True,0,1067.27,0
1855.03,15,False,2,353.03,0
4979.23,17,False,5,730.7,0
3102.18,13,True,3,156.74,0
120.13,11,False,5,1552.19,0
4426.13,21,True,4,593.11,0
3446.23,12,True,4,1894.0,1
4704.88,21,True,1,1309.84,0
3930.52,21,False,1,1122.46,0
267.2,15,True,1,886.74,0
4773.8,4,False,0,589.72,0
1423.43,1,True,5,1417.42,1
3882.44,14,False,2,760.52,0
2500.53,1,True,3,1443.93,1
231.66,16,False,0,103.69,0
4280.03,8,False,4,747.31,0
1162.28,14,True,3,1073.33,0
1913.26,10,False,5,427.4,0
1237.94,17,True,4,1677.93,1
2232.28,22,False,3,363.27,0
914.67,12,False,5,130.55,0
1094.24,20,False,0,896.46,0
736.16,20,True,5,862.05,0
1010.4,20,False,2,1440.52,0
2401.35,8,True,3,1176.11,0
